,NormMSE,1-PCC,split,Method
DNAJA3+ctrl,0.95544297,0.9110551051899961,2,Scouter
ACTB+ctrl,0.8486631,0.6620983314196143,2,Scouter
EIF5+ctrl,0.27629238,0.12552163701735664,2,Scouter
DICER1+ctrl,1.2618352,0.8009177216345966,2,Scouter
THG1L+ctrl,0.6042885,0.08993564001025645,2,Scouter
PSMG3+ctrl,0.7165524,0.49727025203124,2,Scouter
CUL1+ctrl,1.5048045,1.200793757541775,2,Scouter
EXOSC4+ctrl,0.22908053,0.07665574212067083,2,Scouter
KRI1+ctrl,0.40271452,0.21158969525938087,2,Scouter
ZNF335+ctrl,1.7201561,1.27557600079741,2,Scouter
RPL13A+ctrl,1.0761334,0.3474182058970179,2,Scouter
AAMP+ctrl,0.5728804,0.3384228952992282,2,Scouter
GPKOW+ctrl,0.2831521,0.10051283032191471,2,Scouter
USP5+ctrl,0.84100574,0.5528731923493189,2,Scouter
POLR2F+ctrl,0.18027876,0.08975037826368637,2,Scouter
MCM6+ctrl,0.33506668,0.24489042068075895,2,Scouter
NARS+ctrl,0.13949476,0.06532458020774845,2,Scouter
PTBP1+ctrl,0.8456638,0.6285785398378045,2,Scouter
PPARGC1B+ctrl,1.4804987,1.4418102710212006,2,Scouter
POLR3D+ctrl,1.1498252,0.6248255588257504,2,Scouter
WDR55+ctrl,0.41157454,0.2236239816441209,2,Scouter
CMTR1+ctrl,1.3921403,1.1486143399405728,2,Scouter
MCM3AP+ctrl,0.61385053,0.42064153782043956,2,Scouter
WDR46+ctrl,0.037027787,0.02633416810932121,2,Scouter
CCDC174+ctrl,1.4355583,1.6733298136395849,2,Scouter
HSPA8+ctrl,1.0367154,0.9208688199142178,2,Scouter
NUBP1+ctrl,0.34741542,0.16783337915523888,2,Scouter
NAA20+ctrl,0.69587225,0.37510085540183713,2,Scouter
PSMB6+ctrl,0.21974732,0.00841922178341703,2,Scouter
SRSF10+ctrl,1.7071476,1.3455960560226865,2,Scouter
RPAP2+ctrl,0.47126156,0.1757586179190247,2,Scouter
RFC2+ctrl,0.088787735,0.026625792616865596,2,Scouter
MDN1+ctrl,0.5722656,0.30482819903082514,2,Scouter
SRRM1+ctrl,0.6565739,0.44336483808494165,2,Scouter
MRPL50+ctrl,0.258644,0.18368157132351393,2,Scouter
RPP14+ctrl,0.32607457,0.09625350537130217,2,Scouter
RPL9+ctrl,0.04769334,0.01093724817715358,2,Scouter
HSPE1+ctrl,0.6444451,0.23795083035358477,2,Scouter
AP2S1+ctrl,1.4374375,1.281482953883259,2,Scouter
GNL2+ctrl,0.19799697,0.043413873859665775,2,Scouter
ABCF1+ctrl,1.0353849,0.5588285752779555,2,Scouter
RPS9+ctrl,0.01977637,0.019842018116615567,2,Scouter
NUP160+ctrl,0.14107533,0.03133328664603141,2,Scouter
DTL+ctrl,0.33054975,0.205515125699967,2,Scouter
NDUFAB1+ctrl,0.43541768,0.1936453892483735,2,Scouter
U2AF2+ctrl,0.38568228,0.22192747612307262,2,Scouter
DAP3+ctrl,0.8121059,0.4896332713225918,2,Scouter
INTS3+ctrl,0.72992986,0.24800307918129327,2,Scouter
VARS+ctrl,0.13238238,0.015836325017245634,2,Scouter
FTSJ3+ctrl,0.93975264,0.5400111724998884,2,Scouter
USPL1+ctrl,0.8635672,0.4835440365819492,2,Scouter
MARS+ctrl,0.8807452,0.6826983901306274,2,Scouter
UBA3+ctrl,0.6255044,0.35874899541750604,2,Scouter
EIF2S3+ctrl,0.48487428,0.07466630933719443,2,Scouter
DHX37+ctrl,0.31080595,0.2288178592178255,2,Scouter
MVD+ctrl,0.70154595,0.4166301261842882,2,Scouter
DHX15+ctrl,0.4251747,0.09193714333707836,2,Scouter
WDR43+ctrl,0.17043914,0.035874700542352755,2,Scouter
KIF20A+ctrl,0.9743594,0.6083357738157391,2,Scouter
MRPL36+ctrl,0.1854005,0.07013311387091303,2,Scouter
MED14+ctrl,0.03706985,0.020867928400979174,2,Scouter
